tower,anchor_year,model,bin,n,R2,RMSE,MAE,WAPE,Correlation,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf
4,2018,RF,8-30,7,-0.86,11.651,11.25,1.6087,0.511,0.7416,0.6856,1.5534
4,2018,RF,91-180,83,-0.79,25.665,19.423,1.572,0.232,1.0658,0.5848,0.636
4,2018,SARIMAX,1-7,1,,,,,,,,
4,2018,SARIMAX,181-270,72,0.033,78.379,64.116,0.9177,0.32,1.0494,1.0674,0.989
4,2018,SARIMAX,271-365,67,-0.17,67.053,43.107,1.4026,0.113,1.416,1.431,1.3778
4,2018,SARIMAX,31-90,33,-0.163,17.294,15.255,1.2504,0.327,0.9288,0.9484,1.4172
4,2018,SARIMAX,8-30,7,-1.889,14.523,13.499,1.9303,0.554,0.8898,0.8227,1.8638
4,2018,SARIMAX,91-180,83,-0.927,26.626,22.118,1.7902,0.214,1.2137,0.666,0.7243
4,2018,TFT,1-7,1,,,,,,,,
4,2018,TFT,181-270,72,-0.173,86.344,59.1,0.8459,0.185,0.9673,0.9839,0.9116
4,2018,TFT,271-365,67,-0.083,64.495,28.935,0.9415,0.028,0.9505,0.9606,0.9249
4,2018,TFT,31-90,33,-1.584,25.774,18.181,1.4902,-0.308,1.1069,1.1303,1.6889
4,2018,TFT,8-30,7,-3.091,17.282,11.258,1.6099,-0.607,0.7421,0.6861,1.5545
4,2018,TFT,91-180,83,-0.854,26.12,19.337,1.5651,0.172,1.0611,0.5822,0.6332
4,2018,TabICLv2,1-7,1,,,,,,,,
4,2018,TabICLv2,181-270,72,-0.198,87.255,58.359,0.8353,0.043,0.9552,0.9716,0.9002
4,2018,TabICLv2,271-365,67,-0.085,64.566,27.957,0.9096,-0.111,0.9184,0.9281,0.8936
4,2018,TabICLv2,31-90,33,-0.285,18.175,11.402,0.9346,0.046,0.6942,0.7089,1.0592
4,2018,TabICLv2,8-30,7,-0.236,9.5,5.717,0.8175,-0.163,0.3769,0.3484,0.7894
4,2018,TabICLv2,91-180,83,-3.073,38.711,30.979,2.5073,-0.018,1.6999,0.9327,1.0144
4,2018,TabPFN,1-7,1,,,,,,,,
4,2018,TabPFN,181-270,72,-0.199,87.306,57.593,0.8243,0.186,0.9426,0.9588,0.8884
4,2018,TabPFN,271-365,67,-0.091,64.734,27.548,0.8963,0.013,0.9049,0.9145,0.8805
4,2018,TabPFN,31-90,33,-0.351,18.638,11.651,0.955,0.199,0.7093,0.7243,1.0823
4,2018,TabPFN,8-30,7,-0.295,9.722,6.004,0.8586,0.101,0.3958,0.3659,0.8291
4,2018,TabPFN,91-180,83,-0.226,21.241,14.759,1.1945,-0.002,0.8098,0.4444,0.4833
4,2018,XGB,1-7,1,,,,,,,,
4,2018,XGB,181-270,72,0.071,76.832,57.067,0.8168,0.291,0.934,0.9501,0.8803
4,2018,XGB,271-365,67,0.066,59.894,30.811,1.0025,0.276,1.0121,1.0228,0.9848
4,2018,XGB,31-90,33,0.03,15.787,12.084,0.9905,0.244,0.7357,0.7513,1.1225
4,2018,XGB,8-30,7,-0.089,8.916,7.835,1.1204,0.605,0.5165,0.4775,1.0818
4,2018,XGB,91-180,83,-0.349,22.279,15.765,1.276,0.218,0.8651,0.4747,0.5162
4,2019,DLinear,1-7,0,,,,,,,,
4,2019,DLinear,181-270,61,-1.821,60.854,48.576,1.7268,0.547,1.7245,1.2324,1.0095
4,2019,DLinear,271-365,66,-0.34,61.083,39.932,1.5131,0.376,1.51,1.6836,1.4545
4,2019,DLinear,31-90,32,-4.609,53.078,42.823,1.9606,-0.049,1.9569,2.3119,2.7442
4,2019,DLinear,8-30,8,-1.871,56.145,46.969,1.2271,-0.815,1.2282,1.132,1.0382
4,2019,DLinear,91-180,62,0.261,75.277,47.796,0.6291,0.537,0.6286,0.7757,0.8273
4,2019,Ensemble_MASEweighted,1-7,0,,,,,,,,
4,2019,Ensemble_MASEweighted,181-270,61,0.572,23.691,16.739,0.595,0.771,0.5943,0.4247,0.3479
