bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
271-365,67,-0.228,68.69,30.265,0.9942,0.9847,-0.248,observed,TFT,BASE+arable,2018,4
1-7,7,-1.538,33.947,25.623,1.7593,0.7883,0.256,gapfilled,TFT,BASE+arable,2018,4
8-30,23,-2.255,21.293,15.798,1.3723,0.9739,0.254,gapfilled,TFT,BASE+arable,2018,4
31-90,60,-1.35,28.717,21.061,1.4443,0.981,-0.095,gapfilled,TFT,BASE+arable,2018,4
91-180,90,-1.339,21.69,17.374,1.1553,1.4147,-0.009,gapfilled,TFT,BASE+arable,2018,4
181-270,90,-0.475,67.173,48.177,0.9069,0.7202,0.329,gapfilled,TFT,BASE+arable,2018,4
271-365,95,-0.209,43.13,29.281,1.09,0.8768,0.334,gapfilled,TFT,BASE+arable,2018,4
1-7,1,,,,,,,observed,DLinear,BASE+arable,2018,4
8-30,7,-14.681,33.833,28.789,1.8978,4.1167,0.476,observed,DLinear,BASE+arable,2018,4
31-90,33,-3.759,34.977,28.553,1.7384,2.3404,-0.234,observed,DLinear,BASE+arable,2018,4
91-180,83,-7.792,56.872,45.633,2.504,3.6934,-0.114,observed,DLinear,BASE+arable,2018,4
181-270,72,-0.352,92.69,72.275,1.1829,1.0345,0.067,observed,DLinear,BASE+arable,2018,4
271-365,67,-0.205,68.044,40.748,1.3385,1.3258,0.195,observed,DLinear,BASE+arable,2018,4
1-7,7,-0.815,28.704,23.368,1.6045,0.7189,-0.108,gapfilled,DLinear,BASE+arable,2018,4
8-30,23,-13.185,44.45,39.774,3.455,2.4519,0.731,gapfilled,DLinear,BASE+arable,2018,4
31-90,60,-3.507,39.767,30.727,2.1072,1.4312,-0.364,gapfilled,DLinear,BASE+arable,2018,4
91-180,90,-14.558,55.943,43.518,2.8938,3.5435,-0.196,gapfilled,DLinear,BASE+arable,2018,4
181-270,90,-0.864,75.501,56.785,1.069,0.8489,0.021,gapfilled,DLinear,BASE+arable,2018,4
271-365,95,-0.909,54.192,40.265,1.4989,1.2057,0.098,gapfilled,DLinear,BASE+arable,2018,4
1-7,1,,,,,,,observed,LSTM,BASE+arable,2018,4
8-30,7,-3.531,18.187,13.16,0.8675,1.8818,-0.412,observed,LSTM,BASE+arable,2018,4
31-90,33,-1.006,22.707,16.844,1.0255,1.3807,-0.097,observed,LSTM,BASE+arable,2018,4
91-180,83,-5.283,48.079,39.607,2.1733,3.2056,0.224,observed,LSTM,BASE+arable,2018,4
181-270,72,-0.148,85.426,61.915,1.0134,0.8862,0.164,observed,LSTM,BASE+arable,2018,4
271-365,67,-0.089,64.668,28.696,0.9426,0.9336,0.064,observed,LSTM,BASE+arable,2018,4
1-7,7,-2.953,42.366,32.202,2.211,0.9907,-0.446,gapfilled,LSTM,BASE+arable,2018,4
